,Artist,Birth Date,Birth Place,Death Date,Death Place,Nationality,Official Website,Education,Notable Work,Style,Movement,Start Date,End Date,Lifespan
172,Emma Amos,1937-03-16,Atlanta,2020-05-20,Bedford,United States of America,https://emmaamos.com/,"New York University, Antioch College, Central Saint Martins, Mason Gross School of the Arts",,,Feminist Art,1970-01-01,,83.17864476386038
172,Emma Amos,1937-03-16,Atlanta,2020-05-20,Bedford,United States of America,https://emmaamos.com/,"New York University, Antioch College, Central Saint Martins, Mason Gross School of the Arts",,,Postmodernism,1970-01-01,,83.17864476386038
173,Emma Lee Moss,1916-11-03,Saint Bethlehem,1993-01-01,,United States of America,,Angelo State University,,,Unknown,,,76.1615331964408
174,Erhabor Emokpae,1934-05-09,Benin City,1984-02-16,Lagos State,Nigeria,,Yaba College of Technology,,,Realism,1840-01-01,1889-12-31,49.7741273100616
174,Erhabor Emokpae,1934-05-09,Benin City,1984-02-16,Lagos State,Nigeria,,Yaba College of Technology,,,Dualism,,,49.7741273100616
175,Eric McRay,,"Washington, D.C.",,,,https://ericmcray.com/,Maryland Institute College of Art,,,Unknown,,,
176,Ernest G. Alston,1931-05-23,,,,,,,,,Unknown,,,
177,Ernie Barnes,1938-07-15,Durham,2009-04-27,Los Angeles,United States of America,https://erniebarnes.com/,"North Carolina Central University, Hillside High School",Sugar Shack,,Unknown,,,70.78439425051334
178,Eugene E. White,1933-03-29,Ozan,2019-02-08,,,,,,,Unknown,,,85.86447638603696
179,Evelyn Ware,,"Washington, D.C.",,,,,"New York University, The Catholic University of America, University of Maryland, University of Ghana, District of Columbia Teachers College",,painting,Unknown,,,
180,Everald Brown,1917-01-01,,2002-01-01,,Jamaica,,,,,Unknown,,,84.99931553730322
181,Everald Brown,1917-01-01,,2003-01-01,,Jamaica,,,,,Unknown,,,85.99863107460644
182,Faith Ringgold,1930-10-08,Harlem,2024-04-13,Englewood,United States of America,http://faithringgold.com,City College of New York,"Flying Home: Harlem Heroes and Heroines (Downtown and Uptown), The American People Series #20: Die",social-artistic project,Feminist Art,1970-01-01,,93.51403148528405
183,Felrath Hines,1913-11-09,Indianapolis,1993-10-03,Silver Spring,United States of America,,Crispus Attucks High School,,,Unknown,,,79.89869952087611
184,Floyd Coleman,1939-01-13,Sawyerville,,,United States of America,,"Alabama State University, University of Georgia, University of Wisconsin System",,,Unknown,,,
185,Frances Raiford,,"Washington, D.C.",,,,,"Corcoran College of Art and Design, Northern Virginia Community College",,,Unknown,,,
186,Francine Haskins,1947-01-01,"Washington, D.C.",,,,,"The Catholic University of America, Corcoran College of Art and Design, McKinley Technology High School",,,Unknown,,,
187,Francis Hewitt,1936-01-01,,1992-01-01,,United States of America,,,,,Unknown,,,56.0
188,Frank Bowling,1934-02-26,Bartica,,,Guyana,https://frankbowling.com,"City and Guilds of London Art School, Royal College of Art",Giving Birth Astride a Grave,abstract art,Color Field,1940-01-01,1969-12-31,
189,Frank Bowling,1934-02-26,Bartica,,,United Kingdom,https://frankbowling.com,"City and Guilds of London Art School, Royal College of Art",Giving Birth Astride a Grave,abstract art,Color Field,1940-01-01,1969-12-31,
190,Frank Frazier,1943-01-01,Harlem,,,,,"Art Students League of New York, Hofstra University, Nassau Community College",,,Unknown,,,
191,Frank J. Williams,1959-01-01,Chicago,,,,https://www.frankjwilliams.net/,,,,Unknown,,,
192,Frank Stephens,1932-01-01,Augusta,,,United States of America,,"Hussian College - School of Art, Philadelphia College of Art",,,Unknown,,,
193,Frank Williams,1959-02-17,,,,,,,,,Unknown,,,
194,Fred Wilson,1954-01-01,New York City,,,United States of America,https://www.pacegallery.com/artists/fred-wilson,"Fiorello H. LaGuardia High School, State University of New York at Purchase",,"conceptual art, installation art",Conceptual Art,1965-01-01,1975-12-31,
195,Fred Wilson,1954-01-01,The Bronx,,,United States of America,https://www.pacegallery.com/artists/fred-wilson,"Fiorello H. LaGuardia High School, State University of New York at Purchase",,"conceptual art, installation art",Conceptual Art,1965-01-01,1975-12-31,
196,Freddie Anderson,1932-08-24,,,,,,,,,Unknown,,,
197,Freddie Brice,1920-01-01,Charleston,1998-01-01,New York City,United States of America,,,,outsider art,Unknown,,,78.00136892539356
198,Freddie Styles,1944-01-01,Madison,,,,,Morris Brown College,,,Unknown,,,
199,Frederick Cornelius Alston,1895-10-31,Wilmington,1987-08-01,Columbia,United States of America,,,,,Unknown,,,91.74811772758385
200,Frederick Flemister,1917-02-05,Jackson,1976-02-29,Harlem Hospital Center,United States of America,,,,,Unknown,,,59.063655030800824
201,G. Caliman Coxe,1907-05-07,Carlisle,1999-07-24,,United States of America,,University of Louisville,,,Unknown,,,92.21355236139631
202,G. Caliman Coxe,1907-05-08,Carlisle,1999-07-24,,United States of America,,University of Louisville,,,Unknown,,,92.21081451060917
203,G. W. Hobbs,,,,,,,,,,Unknown,,,
204,Gary Rickson,1942-01-01,Boston,,,United States of America,,"Boston University, Roxbury Community College",,,Black Aesthetic,1960-01-01,1979-12-31,
205,Gary Simmons,1964-04-14,New York City,,,United States of America,,,,,Unknown,,,
206,Geneva Higgins McGee,1911-01-01,,,,United States of America,,"University of Cincinnati, Miami University, Spelman College",,,Unknown,,,
207,George H. Smith,1943-01-01,Brooklyn,,,,http://shomariart.com/,"Pratt Institute, Howard University",,,Unknown,,,
208,George Hunt,1933-07-06,Lake Charles,2020-12-04,Memphis,United States of America,https://georgehuntart.com/,"New York University, University of Arkansas, University of Memphis",,,Unknown,,,87.41409993155374
209,George Kornegay,1913-01-01,,2014-01-01,,,,,,,Unknown,,,100.99931553730322
210,George Kornegay,1913-01-01,,2014-06-03,,,,,,,Unknown,,,101.41820670773443
211,George Kornegay,1913-11-23,,2014-01-01,,,,,,,Unknown,,,100.10677618069815
212,George Kornegay,1913-11-23,,2014-06-03,,,,,,,Unknown,,,100.52566735112936
213,George Maciunas,1931-11-08,Kaunas,1978-05-09,Boston,Lithuania,,,,,Fluxus,1960-01-01,1979-12-31,46.49965776865161
214,George Maciunas,1931-11-08,Kaunas,1978-05-09,Boston,United States of America,,,,,Fluxus,1960-01-01,1979-12-31,46.49965776865161
215,Georgette Seabrooke,1916-08-02,Charleston,2011-01-01,Palm Coast,United States of America,,Howard University,,,Unknown,,,94.41478439425052
216,Georgette Seabrooke,1916-08-02,Charleston,2011-12-27,Palm Coast,United States of America,,Howard University,,,Unknown,,,95.40041067761807
217,Georgia Mills Jessup,1926-03-19,"Washington, D.C.",2016-12-24,Columbia,United States of America,,"The Catholic University of America, Howard University",,figurative art,Contemporary Art,1970-01-01,,90.76796714579055
218,Gerald Griffin,1960-01-01,Chicago,,,United States of America,http://geraldp.wixsite.com/griffin-gallery/artists-biography,School of the Art Institute of Chicago,,,Unknown,,,
219,Gerald Jackson,1936-01-01,Chicago,,,United States of America,,Brooklyn Museum Art School,,"abstract art, figurative art",Unknown,,,
220,Gerard Sekoto,1913-12-09,Botshabelo,1993-03-20,Nogent-sur-Marne,Union of South Africa,,,,,Unknown,,,79.27720739219713
221,Gerry Mitchell,,Sedalia,2011-12-03,Charlottesville,,,"Yale University, Virginia Commonwealth University",,,Unknown,,,
222,Gertrude Morgan,1900-04-07,LaFayette,1980-07-08,New Orleans,United States of America,,,,,Unknown,,,80.25188227241615
223,Gilda Snowden,1954-01-01,Detroit,2014-01-01,,United States of America,,"Wayne State University, Cass Technical High School",,,Cass Corridor Art Movement,1960-01-01,1989-12-31,60.0
224,Glenn Ligon,1960-01-01,The Bronx,,,United States of America,,Wesleyan University,,"appropriation, conceptual art, installation art, intertextuality, video art",Black Atlantic,1990-01-01,,
224,Glenn Ligon,1960-01-01,The Bronx,,,United States of America,,Wesleyan University,,"appropriation, conceptual art, installation art, intertextuality, video art",Conceptual Art,1965-01-01,1975-12-31,
225,Grafton Tyler Brown,1841-02-22,Harrisburg,1918-03-02,St. Peter,United States of America,,,,landscape painting,Unknown,,,77.01848049281314
226,Greg Pitts,1949-01-01,Los Angeles,,,,,,,,Unknown,,,
227,Gregg Spears,,Chicago,,,,,,,,Unknown,,,
228,Gregory Fletcher,1953-01-01,East Baltimore Midway,,,,https://fletcherschwingstudio.com/,,,"landscape painting, cityscape",Unknown,,,
229,Hale Woodruff,1900-08-26,Cairo,1980-09-06,New York City,United States of America,,"School of the Art Institute of Chicago, Herron School of Art and Design",,,Unknown,,,80.03011635865845
230,Hale Woodruff,1900-08-26,Cairo Junction,1980-09-06,New York City,United States of America,,"School of the Art Institute of Chicago, Herron School of Art and Design",,,Unknown,,,80.03011635865845
231,Harlan Jackson,1918-01-01,Cleburne,1993-01-01,,United States of America,,"Emporia State University, California School of Fine Arts, Hans Hoffman School of Fine Art",,abstract art,Unknown,,,75.00068446269678
232,Harvey Ramseur,,Greensboro,,,,,"Occidental College, North Carolina Central University, University of Connecticut",,relief sculpture,Unknown,,,
233,Hayward Oubre,1916-01-01,,2006-01-01,,United States of America,,,,,Unknown,,,90.00136892539356
234,Hector Hyppolite,1894-09-16,Saint-Marc,1948-06-09,,Haiti,,,,,Unknown,,,53.72758384668035
235,Henry Ossawa Tanner,1859-06-21,Pittsburgh,1937-05-24,6th arrondissement of Paris,United States of America,,"Académie Julian, Pennsylvania Academy of the Fine Arts","The Thankful Poor, The Young Sabot Maker, The Banjo Lesson, Moroccan Scene","landscape painting, genre painting, religious painting, figure painting",Realism,1840-01-01,1889-12-31,77.92197125256673
236,Henry Taylor,1958-01-01,Oxnard,,,United States of America,,California Institute of the Arts,Untitled (Self-Portrait),portrait,Unknown,,,
237,Herbert Gentry,1919-07-17,Pittsburgh,2003-09-08,Stockholm,United States of America,,Académie de la Grande Chaumière,,,Unknown,,,84.145106091718
238,Herbert Singleton,1945-01-01,New Orleans,2007-01-01,New Orleans,United States of America,,,,,Unknown,,,61.998631074606436
239,Herman Bailey,1931-11-28,Chicago,1981-04-27,,United States of America,,"Alabama State University, USC Roski School of Fine Arts and Design",,,Pan-Africanism,1900-01-01,,49.412731006160165
240,Horace Pippin,1888-01-01,West Chester,1946-01-01,West Chester,United States of America,,,,"genre painting, history painting",Naïve Art,1800-01-01,,57.998631074606436
241,Horace Pippin,1888-01-01,West Chester,1946-07-05,West Chester,United States of America,,,,genre painting,Naïve Art,1800-01-01,,58.50513347022587
242,Horace Pippin,1888-01-01,West Chester,1946-07-06,West Chester,United States of America,,,,genre painting,Naïve Art,1800-01-01,,58.507871321013006
